r,φ,x,y,timestamp,J_t_ABS_Schw,J_r_ABS_Schw,J_φ_ABS_Schw,J_t_SCATT_Schw,J_r_SCATT_Schw,J_φ_SCATT_Schw,J_X_TOTAL_Schw,J_Y_TOTAL_Schw,n
18,2.4802047265182576,-14.204529169135082,11.055828828414022,2024-09-10T12:52:51.837,-0.8864957616343405,-0.8280591907350374,0.20327112512125356,-22.258798172206706,8.068362508875953,162.40879764006647,-11.262416641570162,-2.6820120348998646,0.9526088768164622
19,2.4802047265182576,-14.993669678531475,11.670041541103691,2024-09-10T12:52:53.227,-0.8392028319116921,-0.7781669514885106,0.18170805924272287,-22.474482318704418,8.207235313092461,170.64694225940178,-11.384953986865684,-2.5321195652808557,0.9554116350274834
20,2.4802047265182576,-15.782810187927868,12.284254253793359,2024-09-10T12:52:54.611,-0.7968488809256215,-0.7339854498781572,0.16344341419489913,-22.668496896267754,8.330655092031225,178.86210844005063,-11.492828243382837,-2.3978446909474043,0.9578965109568013
21,2.4802047265182576,-16.57195069732426,12.898466966483026,2024-09-10T12:52:56.048,-0.7586828998567452,-0.6945827289593374,0.1478307521562797,-22.843979998020437,8.441053326398883,187.0588833774802,-11.58851773992016,-2.27689555441811,0.9601147007738055
22,2.4802047265182576,-17.361091206720655,13.512679679172695,2024-09-10T12:52:57.489,-0.7241010833914223,-0.6592198088749194,0.13437581922411676,-23.003488861065087,8.540379791845123,195.24080724629155,-11.67397538463698,-2.1674036880701903,0.9621070318944831
23,2.4802047265182576,-18.150231716117048,14.126892391862363,2024-09-10T12:52:58.928,-0.692612039241308,-0.627303084417025,0.12269521613635945,-23.149128490632474,8.630215405405927,203.41064133807686,-11.75075981728083,-2.0678312916269457,0.9639064368814269
24,2.4802047265182576,-18.939372225513445,14.74110510455203,2024-09-10T12:53:00.355,-0.6638115045733888,-0.5983501728741561,0.11248766416682632,-23.282647634734403,8.711855026692213,211.57056020641147,-11.820129480957288,-1.9769016837810103,0.9655397608742569
25,2.4802047265182576,-19.728512734909838,15.355317817241698,2024-09-10T12:53:01.772,-0.6373636504122492,-0.5719649729088722,0.10351364366220679,-23.405511354628217,8.786369018830893,219.72229350474962,-11.88311120629957,-1.893546585088095,0.9670290997443093
26,2.4802047265182576,-20.51765324430623,15.969530529931365,2024-09-10T12:53:03.190,-0.6129870415154753,-0.5478191575521321,0.09558071732825335,-23.51895632361723,8.85464968913272,227.8672255723583,-11.940550848066316,-1.8168654345320157,0.9683927944536899
27,2.4802047265182576,-21.306793753702625,16.583743242621033,2024-09-10T12:53:04.612,-0.5904439444057676,-0.5256382424578673,0.0885327860318099,-23.624034059461223,8.917446699308952,236.00647747493448,-11.993151433910615,-1.7460940693930178,0.9696462027112747
28,2.4802047265182576,-22.095934263099018,17.197955955310704,2024-09-10T12:53:06.039,-0.5695320819636046,-0.5051909604807869,0.08224211325607766,-23.72164418274873,8.975394385206194,244.14095844086214,-12.041501877925233,-1.6805798378837498,0.9708022700018958
5,2.8108986900540254,-4.7290862085031735,1.623497346023418,2024-09-10T12:53:07.455,-3.7946487892110405,-4.713902945437455,2.176885907662852,-9.662447895813685,-0.09120064313513346,19.692548731678198,3.124551058389434,-5.697112254309813,0.7170699889537447
6,2.8108986900540254,-5.674903450203808,1.9481968152281017,2024-09-10T12:53:09.120,-2.8063614564818513,-3.293790502245308,1.204013604062893,-11.43180296667834,1.4519991270552324,25.325269102410942,0.3063240360747883,-4.780004180865554,0.734773429388453
7,2.8108986900540254,-6.620720691904443,2.272896284432785,2024-09-10T12:53:10.622,-2.2631365203435085,-2.537398347023315,0.7811130646929607,-13.041512165428802,2.818628616956925,31.0520275722063,-1.7425929907512225,-4.209875148036901,0.7665108642712076
8,2.8108986900540254,-7.566537933605077,2.597595753637469,2024-09-10T12:53:12.101,-1.9116567435458,-2.066780256124985,0.5542134270579098,-14.412090081063388,3.9560921873067825,36.585812279189426,-3.294362128595819,-3.7775010025548847,0.7957324402194978
9,2.8108986900540254,-8.512355175305713,2.922295222842153,2024-09-10T12:53:13.485,-1.662357404881355,-1.7452203436738227,0.4164954635685801,-15.561194887131803,4.890298011381354,41.88063207290237,-4.50065255793595,-3.4238341171772952,0.8200827366952282
10,2.8108986900540254,-9.458172417006347,3.246994692046836,2024-09-10T12:53:14.830,-1.474800949248249,-1.5112972003774896,0.3258392444500557,-16.526023650924444,5.6598642110797615,46.96557101461153,-5.4593357879784925,-3.1258656144007837,0.839987288499585
